STT,Tên
1,15056 kisu nante dekinai deshoto chouhatsu suru namaikina osananajimi wo wakarasete yattara yosou ijou ni dereta
2,12808 dont take it wrong thats what my childhood friend who gave me love chocolate said but what does that mean dont take it wrong
3,11923 hay lam tnh di loi cau hon den ban cung lop cua toi truoc khi co ay nhay lau
4,3845 omae gotoki ga maou ni kateru to omou na to gachizei ni yuusha party wo tsuihou sareta node outo de kimama ni kurashitai
5,5091 omae gotoki ga maou ni kateru to omou na to gachizei ni yuusha party wo tsuihou sareta node outo de kimama ni kurashitai
6,8184 omae gotoki ga maou ni kateru to omou na to gachizei ni yuusha party wo tsuihou sareta node outo de kimama ni kurashitai
7,11925 lets have sex my proposal to my classmate just before she jumps off
8,468 um sorry ive been reincarnated
9,4849 um sorry ive been reincarnated
10,14935 danh tinh yeu cho em gai cung la mot cong viec quan trong
11,18510 0 va 1
12,5184 koko wa ore ni makasete saki ni ike to itte kara 10 nen ga tattara densetsu ni natteita
13,7596 10 nam sau khi noi cau cu di di o day de toi lo toi da tro thanh mot huyen thoai
14,759 10 nen goshi no hikiniito o yamete gaishutsushitara jitaku goto isekai ni tenishiteta
15,890 10 sai no saikyou madoushi
16,1739 juu sai no saikyou madoushi
17,15462 10 nen buri ni saikai shita kusogaki wa seijun bishoujo jk ni seichoushita ita
18,15703 100 co ban gai nguoi ma thuc su thuc su thuc su thuc su thuc su yeu ban chuyen tinh yeu dac biet chuyen tinh bi mat
19,18031 100 dieu em khong biet ve senpai
20,5797 100 dieu em khong biet ve senpai
21,13795 100 dieu em khong biet ve senpai
22,11727 the villainess who only had 100 days to live had fun every day
23,5078 15 sai demo ore no yome
24,8133 1 ldk soshite 2 jk 26 sai salaryman joshikousei ni nin to doukyo hajimemashita
25,3660 2311
26,8328 2311
27,2138 29 years old bachelor was brought to a different world to live freely
28,2840 3 minutes boy meets girl
29,2031 400 years old virgin demon king
30,14836 45510
31,14837 45510
32,15927 6 nu chinh deu muon toan quyen doc chiem toi
33,1985 86 eightysix
34,16685 87 ngay cho den lan dau lam chuyen ay voi co ban gai ngay tho va de dai
35,2463 99th vampire princess the last vampire
36,7990 a banished failure survives in the borderland and becomes an s rank exorcist
37,14682 a beautiful girl who is under the delusion that shes dating me i cant escape because we are childhood friends
38,17884 a beautiful girl who is under the delusion that shes dating me i cant escape because we are childhood friends
39,13759 a boy who was falsely accused and hurt by the people he cares about even if they apologize after finding out hes innocent hell never forgive them
40,9141 a certain elfs note
41,19155 a cheeky junior denied me my entire life so i tested what would happen if i jumped off a rooftop to vent my anger
42,14991 a fairy tale for the villains
43,19099 a family of yandere witches living in modern day wont let me go
44,16265 a flower for you
45,12910 a gal who looks good in an apron is unfair
46,8202 a genius healer who can treat instantly but was banished from party considered doing nothing even if they told him to come back now he is now having fun as a dark healer now so the treatment will be expensive but can you pay for it
47,6647 a guess in the ghost house
48,2868 a guest in a ghost house
49,19161 a kiss for the petals extra ln
50,6674 a monster who levels up
51,4915 a monster who levels up
52,14997 a monster who levels up
53,15876 a neets guide to the parallel world healer the strongest cheat
54,7199 a neets guide to the parallel world healer the strongest cheat
55,8502 a neets guide to the parallel world healer the strongest cheat
56,12923 a pregnancy without tomorrow
57,10551 a returnee classmate number one on the list of people i want to kill became my wife
58,7485 a returners magic should be special
59,3235 a sequel for the villainess
60,102 a simple survey
61,18252 a sweet girl wont be fooled by the villainess
62,13909 a sword master childhood friend power harassed me harshly so i broke off our relationship and make a fresh start at the frontier as a magic swordsman
63,11016 a tale of the secret saint
64,7313 a villainess no a heinous young lady
65,18427 oh my goddess
66,15698 ai chuyen sinh
67,3120 about the reckless girl who kept challenging a reborn man like me
68,9077 about the time when i lied to my tsundere childhood friend that i got a girlfriend
69,13541 about touma kun who wants to spend his time quietly is liked by the schools madonna
70,170 absolute duo
71,14774 absolute zero
72,19053 ac ma tro thanh than tai di gioi tien hoa phi nhan loai
73,12831 ac nghich dai chien
74,18341 ac nu 800 tuoi nhap vao mot vi tieu thu nhut nhat tan huong tuoi xuan nhan ha
75,18269 nhan vat phan dien da de xuat mot cuoc hon nhan theo hop dong
76,19021 ac nu nua voi cau chuyen ve su hoan doi than xac cua ho diep va chuot o hau cung
77,7293 the villainess reverse the hourglass
78,10380 ac nu song hai lan
79,18448 ac quy thanh xuan
80,18878 academys second seat
81,13296 academys undercover professor
82,100 accel world
83,4812 adachi shimamura
84,11045 adachi to shimamura
85,11033 adachi va shimamura
86,557 adolescent adam
87,15922 adventures of lord el melloi ii
88,18334 after flirting for hire with a yandere its hard for me to escape even if i had wings
89,9282 after being cheated on and abandoned by my childhood friend i ended up dating an idol
90,15137 after being thrown out by my stepmother my former sister pounced on me
91,7438 after coincidentally saving the new transfer students little sister we gradually grew closer
92,14870 after i save the ice princess from another school from a molster we started as friends
93,9217 tup leu tranh hai trai tim vang
94,8581 after responding seriously to a marriage promise i married my cute childhood friend the start of a money saving life with my wife
95,6719 agi virtual girl wants to fall in love
96,8283 ai dam bao rom com khong co thuc
97,12079 ai do da chiem huu co the toi
98,12386 ai kon katsu no susume unmei no aite wa douseideshita
99,17671 who killed the hero
100,15099 ai ma ngo mot ten co doc chuyen thu am tai gia nhu toi lai tro thanh cay viet ma cho co nang thien tai xinh dep do chu
101,18133 the classmate who is adored by everyone smiles teasingly only at me
102,3316 a so mata n tsu
103,12613 aizawa kun khong the yeu
104,2144 akaten no asuka onna yuusha wa in kanni otsu
105,16101 akatsuki no shokanshi watashi wo isekai shokan shita ano musume no koto o nani ga nan demo mamoritai akatsuki no shokanshi watashi wo isekai shokan shita ano musume no koto o nani ga nan demo mamoritai 100 11
106,15712 akihabara radio tower
107,2317 akugyaku no black maria
108,11853 akugyaku no black maria
109,8010 akuma koujo yurui akuma no monogatari
110,934 akuma koujo yurui akuma no monogatari
111,7194 akuma no meido san
112,5434 akuma wa ikai de kami to naru
113,4435 akuma wa ikai de kami to naru
114,4400 akuyaku reijo nanode rasubosu o katte mimashita
115,1074 akuyaku reijo ni koi wo shite
116,2666 akuyaku reijo ni koi wo shite
117,2217 akuyaku reijo ni koi wo shite
118,2745 akuyaku reijo wa shomin ni totsugitai
119,9489 ive been reincarnated as a villainess older brother
120,13132 akuyaku reijou no naka no hito
121,18602 akuyaku reijou wa danna sama wo yasesasetai
122,12523 the villainess becomes a commoner
123,17272 akuyaku suki no ore oshi kyara ni tensei
124,3025 akuyaku tensei dakedo doushite kou natta
125,3438 albert ke no reijou wa botsuraku wo go shomou desu
126,176 aldnoah zero extra
127,12110 alice in the massacre
128,3839 alice mare
129,104 all you need is kill
130,6278 allison
131,4115 almadianos eiyuuden
132,14261 almark kiem phuong bac dua phep phuong nam
133,1400 although i am only level 1 but with this unique skill i am the strongest
134,1943 although i am only level 1 but with this unique skill i am the strongest
135,2791 although i am only level 1 but with this unique skill i am the strongest
136,17980 altina the sword princess
137,13484 amaetai osananajimi wa nan demo iu koto kikuken wo motte kiss wo shitai to sematte kuru
138,17322 amagi brilliant park
139,18166 amalgam hound
140,1860 amaterasu wa kaku katariki
141,15885 amerikan tensei domeiai tsuiho sareta beikoku ga i sekai de kinpatsu bishojo tensei nippon mo issho juki shokan sukiru de mamono o heddo shotto what chikyu no kikidakara modottekoi oh imasara osoi death
142,3216 an a ranked adventurers slow living
143,18890 an autumn in amber a zero second journey
144,18762 an mang trong toa thap kinh
145,6553 anaheim laboratory log
146,15597 anata wo akiramekirenai moto iinazuke ja dame desu ka
147,162 angel beats track zero
148,2103 angel notes
149,11357 angel of death
150,11072 anh ay thuc tinh khi toi chet
151,13087 anh den le loi trong long bien toi tam
152,10590 anh hung thoi mien quy vuong
153,10047 anh hung phai chet
154,14866 eiyuu to kenja no tensei kon
155,5399 mushoku no eiyuu betsu ni skill nanka iranakattan daga
156,9096 anh hung vo chuc
157,19216 anh hung ma vuong va ke phan dien
158,4751 anh hung ta khong lam lau roi
159,18276 anh sang cuoi con duong
160,7116 anh nghi la minh co the chay sau khi tai sinh a nii san
161,4778 anima
162,3009 ankoku kishi monogatari yuusha wo taosu tameni maou ni shoukansaremashita
163,4382 ano kyokai ni wa tenshi ga iru
164,18594 another life another me
165,7278 another monster
166,3067 another world ramen edition
167,3144 ansatsusha de aru ore no status ga yuusha yori mo akiraka ni tsuyoi no daga
168,12186 blue outline
169,13176 ao to sakura
170,15282 ao va sakura
171,3078 aobara hime no yarinaoshi kakumeiki
172,18690 aohagane no boutokusha
173,4727 aoi kotori akai tori
174,6898 apocalypse witch to the strongests of an age of plenty
175,5503 apotheosis of a demon a monster evolution story
176,17144 apparently my childhood friends older sister who is called a gal nowadays is a yandere who pathologically loves me a degraded version of my twin brother who can do everything perfectly
177,1433 arachne
178,3838 arafoo kenja no isekai seikatsu nikki
179,12513 arcadiagarden age of heaven
180,15278 are you okay with a slightly older girlfriend
181,18409 ariel dalton muon duoc tot nghiep
182,216 arifureta shokugyou de sekai saikyou
183,767 arifureta shokugyou de sekai saikyou
184,3996 arifureta zero1
185,10898 chu doanh nhan trung nien troi day tai di gioi tao nen ten tuoi cho ban than nho vao suc manh tu nu than
186,7025 around 40 otoko no isekai tsuuhan seikatsu
187,15899 arslan chien ky
188,14488 aru hi totsuzen gyaru no iinazuke ga dekita
189,13166 aru hi tanin no status ga mieru you ni natta ore no gakuen rabukome
190,8656 arya san ban ben thi thoang lai to ra ngot ngao va thi tham tha thinh toi bang tieng nga
191,8437 arya san ban ben thi thoang lai tha thinh toi bang tieng nga
192,8964 asahina wakaba to marumaru na kareshi
193,12566 asahina wakaba to marumaru na kareshi
194,17477 ashita hadashi de koi
195,13285 ashita hadashi de koi
196,6616 assassin de aru ore no status ga yuusha yorimo akirakani tsuyoi no daga
197,2850 assassins creed black flag
198,5748 assassins pride
199,618 light novel asuka of the scarlet sky 18
200,3822 hai nu anh hung tren ca hai tay
201,16576 at chu bai cua ma phap su
202,13161 atelier tanaka
203,17227 attack on titan before the fall
204,499 attouteki gacha unde isekai wo nariagaru
205,18387 auto hunting as a clone
206,3118 avoid the death route
207,3403 azure and claude
208,14580 azure and claude
209,12813 bad
210,15427 ba co gai duoc don la xinh dep nhat tu khi toi vao truong dai hoc thuc ra deu la nhung co em ke da xa cach nhau tu nho cua toi
211,11757 oya ga saikon koibito ga ore woonii chanto yobu youni natta
212,18097 babel i thieu nu va hanh trinh khai pha ngon tu
213,3612 magi craft meister
214,8801 bac thay khoi loi
215,18896 bac thay thiet ke dien trang
216,8838 baccano
217,1530 baccano
