ID,Tựa đề,Link truyện,Phương thức dịch,Thể loại,Manga,Anime,CD,Ngôn ngữ gốc,Link ảnh,Tác giả,Họa sĩ,Kiểu trình bày,Tình trạng,Số like,Số từ,Số lượt đánh giá,Số lượt xem,Số lượt bình luận,Fname,ID người dịch,Người dịch,Link người dịch,ID nhóm dịch,Nhóm dịch,Link nhóm dịch,ID người tham gia,Người tham gia,Link người tham gia,Số tập,Số chương,Ngày bắt đầu,Tháng bắt đầu,Năm bắt đầu,Ngày cập nhật cuối,Tháng cập nhật cuối,Năm cập nhật cuối
1,Seirei Tsukai no Blade Dance,https://ln.hako.vn/truyen/1-seirei-tsukai-no-blade-dance,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'School Life', 'Super Power', '']",Yes,Yes,Yes,japanese,https://i.docln.net/lightnovel/covers/s1-c4dd8ff5-552d-46ec-9945-529f9aa2d1b2-m.jpg,Shimizu Yuu,"Sakura Hanpen, Nimura Yuuji, Shimesada Kohada",light novel,Đã hoàn thành,2944.0,1071757,345.0,1695086,2256,NOT FOUND,39,medassin,https://ln.hako.vn/thanh-vien/39,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,21,272,11,11,2016,20,7,2020
10,Utsuro no Hako to Zero no Maria,https://ln.hako.vn/truyen/10-utsuro-no-hako-to-zero-no-maria,Truyện dịch,"['Drama', 'Mystery', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-hGKnPrypenQ/WO2vaWFMeCI/AAAAAAAAJxw/9NXW2PRideY/w215/series_10.jpg,Mikage Eiji,Tetsuo (415),light novel,Tạm ngưng,889.0,333710,97.0,176429,60,Hakomari,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,6,25,11,11,2016,11,11,2016
108,Yahari Ore no Seishun Love Come wa Machigatteiru,https://ln.hako.vn/truyen/108-yahari-ore-no-seishun-love-come-wa-machigatteiru,Truyện dịch,"['Comedy', 'Drama', 'School Life', 'Slice of Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-A0dOLNHLzh0/WO2vpMSXOCI/AAAAAAAAJ34/wd8BcI9CSQk/w215/series_108.jpg,Wataru Watari,Ponkan⑧,light novel,Đang tiến hành,540.0,348338,0,267496,43,OreGairu,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,14,41,11,11,2016,27,11,2016
11,Fate/Zero,https://ln.hako.vn/truyen/11-fatezero,Truyện dịch,"['Action', 'Fantasy', 'Supernatural', 'Drama']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-_XopZx9lUR4/WO2vafVT-KI/AAAAAAAAJx0/Q517v3HEEkE/w215/series_11.jpg,Gen Urobuchi,Takeuchi Takashi,light novel,Đã hoàn thành,190.0,366178,16.0,111831,22,NOT FOUND,2,Hako-chan,https://ln.hako.vn/thanh-vien/2,9,Vnsharing,https://ln.hako.vn/nhom-dich/9-vnsharing,NOT FOUND,NOT FOUND,NOT FOUND,5,27,11,11,2016,22,8,2017
12,"Tabi ni Deyou, Horobiyuku Sekai no Hate Made",https://ln.hako.vn/truyen/12-tabi-ni-deyou-horobiyuku-sekai-no-hate-made,Truyện dịch,"['Adventure', 'Fantasy']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-dBM-k8l2XGk/WO2vatvnj9I/AAAAAAAAJx4/_xaOvpa49jE/w215/series_12.jpg,Yorozuya Tadahito,Houmitsu,light novel,Đã hoàn thành,228.0,81387,41.0,43372,25,Our Journey to the End of the Ceasing World,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,1,6,11,11,2016,11,11,2016
14,Bungaku Shoujo,https://ln.hako.vn/truyen/14-bungaku-shoujo,Truyện dịch,"['Drama', 'Mystery', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-c3cBotWJCmg/WO2vayj5JlI/AAAAAAAAJyA/MnKrJm7ku_k/w215/series_14.jpg,Nomura Mizuki,Takeoka Miho,light novel,Tạm ngưng,133.0,80003,7.0,146697,4,Cô Gái Văn Chương,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,12,Sickos-Alliance,https://ln.hako.vn/nhom-dich/12-sickos-alliance,NOT FOUND,NOT FOUND,NOT FOUND,3,14,11,11,2016,11,11,2016
15,Dantalian no Shoka,https://ln.hako.vn/truyen/15-dantalian-no-shoka,Truyện dịch,"['Fantasy', 'Mystery', 'Action', 'Drama', 'Supernatural']",Not sure,Not sure,Not sure,japanese,https://i.docln.net/lightnovel/covers/s15-bf265093-cb73-4b92-ad72-975d333e17d2-m.jpg,Mikumo Gakuto,G-Yuusuke,light novel,Tạm ngưng,120.0,59565,6.0,32318,3,Thư viện của Dantalian,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,12,Sickos-Alliance,https://ln.hako.vn/nhom-dich/12-sickos-alliance,NOT FOUND,NOT FOUND,NOT FOUND,1,8,11,11,2016,11,11,2016
16,Zero no Tsukaima,https://ln.hako.vn/truyen/16-zero-no-tsukaima,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-R95ey36a2PM/WO2vbBKqAJI/AAAAAAAAJyI/EOsFqFMvc8c/w215/series_16.jpg,Yamaguchi Noboru,Usatsuka Eiji,light novel,Tạm ngưng,199.0,258349,0,91608,14,Linh Thú của Zero,42,MuvLuvFan,https://ln.hako.vn/thanh-vien/42,33,Snail,https://ln.hako.vn/nhom-dich/33-snail,NOT FOUND,NOT FOUND,NOT FOUND,5,43,11,11,2016,31,5,2017
17,Infinite Stratos,https://ln.hako.vn/truyen/17-infinite-stratos,Truyện dịch,"['Action', 'Comedy', 'Harem', 'Mecha', 'School Life', 'Science Fiction', 'Romance', 'Ecchi', '']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-CC2aIJdjsso/WO2vboCq2dI/AAAAAAAAJyM/oYwf4hDWx3c/w215/series_17.jpg,Yumizuru Izuru,Okiura,light novel,Đang tiến hành,458.0,381073,21.0,164147,30,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,8,51,11,11,2016,11,11,2016
18,Hidan no Aria,https://ln.hako.vn/truyen/18-hidan-no-aria,Truyện dịch,"['Action', 'Comedy', 'Harem', 'School Life', 'Supernatural', 'Romance', 'Drama', 'Ecchi', 'Super Power', '']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-8T9nWLu1FOI/WO2vbtxFmwI/AAAAAAAAJyQ/DMuu9Q3waF0/w215/series_18.jpg,Akamatsu Chuugaku,Kobuichi,light novel,Tạm ngưng,344.0,495380,14.0,176703,30,Aria the Scarlet Ammo,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,11567,Silverlord,https://ln.hako.vn/thanh-vien/11567,22,62,11,11,2016,11,11,2016
